"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"D6";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";"";
"D7";"Diff_Red";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";
"D8";"Diff_Red";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";
"DIFF";"4n7";"SPDT.LUGS";"SPDT.LUGS";"SPDT Switches";"";"";"";"";"";"";"";
"DWELL";"C10k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"IC1";"TL072P";"TL072P";"DIL08";"OP AMP";"";"";"";"";"13";"";"";
"IC2";"TL074P";"TL074P";"DIL14";"OP AMP";"";"";"";"";"0";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"LDR1";"KE10720";"LDR1";"LDR1";"Photocells (various)";"";"";"";"";"";"";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"MIX";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"R1";"1M";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R2";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R3";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R4";"RLED";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R5";"47k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R6";"47k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R7";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R8";"470R";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R9";"1k8";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R10";"1k5";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R11";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R12";"120R";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R13";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R14";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R15";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R16";"10k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R17";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R18";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R19";"4k7";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R20";"22k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"R21";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";"";"R";"";
"REL";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";
"RET";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"RET_G";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"SEND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"SEND_G";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"SENS";"B5k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"52";"";"";
"U1";"TC1044SCPA";"TC1044SCPA";"DIP254P762X508-8";"IC CHRG PUMP INV ADJ 20MA";"TC1044SCPA";"1196840";"92C5563";"8 - DIP";"";"";"Microchip";
